project_id,budget,duration_months,employees_impacted,training_hours,communication_score,success_flag,leadership_alignment,project_management,historical_success_rate,risk_mitigation,avg_employee_salary,disengagement_cost,operational_risk_cost
PRJ-026,110220789,35,1597,142,1.1,0,0,1,43.0,32.88,53277,17016673.8,47443468.73733029
PRJ-027,32078507,15,1471,200,1.5,1,1,0,90.56,17.61,57267,16847951.400000002,5649851.559502912
PRJ-028,121231173,18,1761,162,1.9,0,1,0,37.48,33.7,66034,23257174.8,53187970.309164554
PRJ-029,136929120,48,3804,186,3.7,0,1,1,1.03,11.59,89523,68109098.4,36984117.62231205
PRJ-030,34464640,14,2335,88,2.7,1,1,0,27.54,97.62,105532,49283444.0,10222693.072460571
PRJ-031,195833381,39,1135,110,3.3,1,1,0,87.25,99.03,81753,18557931.0,27193166.383691322
PRJ-032,178690607,19,350,89,1.1,1,0,0,4.58,40.16,98223,6875610.0,34016031.92067734
PRJ-033,171618392,6,1509,160,3.2,0,1,1,21.64,20.06,89182,26915127.6,43834384.186367095
PRJ-034,183010713,12,266,75,1.5,0,1,1,41.28,14.59,60004,3192212.8000000003,67458927.06267793
PRJ-035,53913874,15,994,133,2.7,1,0,0,67.16,57.26,115996,23060004.8,23414868.968954008
PRJ-036,138446225,12,4143,156,2.9,0,1,0,87.61,48.06,51489,42663785.400000006,55951735.0362843
PRJ-037,73095100,3,430,62,4.5,1,1,0,19.91,57.23,78675,6766050.0,32076098.434188392
PRJ-038,53081030,44,4893,166,3.8,0,0,0,96.24,99.08,43861,42922374.6,11512593.021005431
PRJ-039,193464307,16,3401,83,4.1,0,1,0,52.23,13.59,70077,47666375.400000006,65396664.80976518
PRJ-040,158035329,7,823,143,3.7,0,1,1,71.86,58.93,56588,9314384.8,38397627.052575156
PRJ-041,123608420,18,202,196,4.2,1,0,0,67.21,87.42,73866,2984186.4000000004,12428457.576512773
PRJ-042,46899542,10,1568,145,3.7,0,0,1,52.31,40.05,115252,36143027.2,21731146.223268487
PRJ-043,149396440,29,2647,94,2.3,0,0,0,59.23,98.27,51892,27471624.8,63392853.86563478
PRJ-044,87961218,5,3324,43,4.0,1,0,0,88.54,77.22,87434,58126123.2,39208338.85008785
PRJ-045,79824678,10,1116,151,3.1,1,1,0,60.45,65.61,83245,18580284.0,39021029.67741406
PRJ-046,178990981,5,1668,74,4.8,1,0,1,85.16,86.73,104276,34786473.6,83769449.13322397
PRJ-047,33711862,40,642,196,1.3,0,0,0,97.41,6.94,58143,7465561.2,5055054.994945484
PRJ-048,174044269,48,1312,151,4.5,1,1,1,18.84,39.18,70320,18451968.0,60176995.70644998
PRJ-049,114118713,36,3715,29,3.2,0,0,1,24.94,36.0,89281,66335783.0,54426051.10995459
PRJ-050,29016007,5,1880,182,2.5,0,0,1,73.03,21.42,75587,28420712.0,9405890.346773067
PRJ-051,90279223,35,123,153,1.4,1,0,0,49.15,23.94,67177,1652554.2000000002,20762891.20566887
PRJ-052,116561877,28,1596,68,2.5,1,1,0,72.67,21.22,53496,17075923.2,53443224.8968464
PRJ-053,132869658,37,378,35,2.3,0,0,1,63.79,9.05,82433,6231934.800000001,60763655.92922463
PRJ-054,163276355,40,3573,93,5.0,0,0,1,59.93,65.73,47814,34167884.4,39180966.588484615
PRJ-055,178971243,10,2862,160,2.8,1,1,0,5.44,29.35,43878,25115767.200000003,63497651.41764995
PRJ-056,3763034,45,2875,88,3.9,1,1,0,41.31,68.81,69157,39765275.0,778635.7539239227
PRJ-057,38819252,45,1054,103,2.8,0,1,1,34.52,9.58,51165,10785582.0,19245058.36270869
PRJ-058,71551888,48,2472,19,3.6,0,1,1,57.62,39.58,72959,36070929.6,22766871.79563682
PRJ-059,59821965,31,3515,112,1.5,1,0,1,12.74,23.01,115385,81115655.0,14879056.735638779
PRJ-060,48636600,31,1566,42,3.6,0,1,1,25.97,53.19,71147,22283240.400000002,16021459.40081588
PRJ-061,53713493,37,3279,123,1.9,1,1,0,38.2,32.8,118601,77778535.8,15962849.18342904
PRJ-062,65320528,14,365,179,3.9,0,0,1,25.9,3.04,75763,5530699.0,20083642.154619776
PRJ-063,89901780,29,1322,87,3.9,0,1,0,43.52,61.94,98556,26058206.400000002,16674685.954755459
PRJ-064,129933930,18,3853,48,4.2,0,0,1,90.46,63.5,111310,85775486.0,41514687.959143914
PRJ-065,32506962,34,1496,138,3.5,0,0,1,21.69,16.17,94905,28395576.0,15557328.641874941
PRJ-066,134081715,42,526,93,2.4,1,1,0,40.32,19.47,87846,9241399.200000001,60804153.94393164
PRJ-067,171821171,36,3506,128,2.3,0,1,1,81.16,65.39,51141,35860069.2,36412663.143564515
PRJ-068,194399189,38,2601,79,3.7,0,0,0,54.64,93.93,114041,59324128.2,22934029.919292163
PRJ-069,32780825,15,1366,181,4.3,1,0,0,84.44,61.16,45464,12420764.8,11024183.668356625
PRJ-070,26399040,41,2842,91,2.7,1,1,1,92.79,10.26,78701,44733648.400000006,10043493.55558432
PRJ-071,184419000,41,2779,190,1.8,0,0,1,63.38,33.18,62871,34943701.800000004,89351590.93976825
PRJ-072,27692061,27,3169,190,3.2,0,0,1,64.89,19.04,74457,47190846.6,13111127.088133818
PRJ-073,80022693,17,4937,130,2.0,1,1,0,5.05,49.66,54198,53515105.2,18593736.459691312
PRJ-074,8892947,28,2031,38,2.9,0,0,1,23.04,9.09,94238,38279475.6,4260357.835072583
PRJ-075,15501439,27,4277,107,2.9,1,1,1,60.82,49.59,118837,101653169.80000001,2225728.4204182383
PRJ-076,56599078,5,1221,200,2.4,1,1,1,51.85,7.74,84635,20667867.0,18683912.220211934
PRJ-077,84362958,48,2191,19,4.3,0,0,1,34.27,75.99,88176,38638723.2,16774633.615643732
PRJ-078,145005809,25,3804,108,4.9,0,0,0,0.71,23.31,61109,46491727.2,66896251.948335946
PRJ-079,121539624,28,4874,200,3.7,0,0,1,39.82,95.9,41261,40221222.800000004,51969932.963492095
PRJ-080,190768138,25,2299,30,1.5,1,1,0,78.6,0.3,64006,29429958.8,36404254.919609375
PRJ-081,38031908,46,3006,67,4.0,0,1,1,96.15,91.94,51001,30661801.200000003,9736014.61659425
PRJ-082,111423098,9,705,192,1.4,1,0,0,42.5,52.9,85166,12008406.0,28174743.677197553
PRJ-083,75561683,16,2115,195,4.0,0,0,0,41.2,46.62,77606,32827338.0,11019353.505647236
PRJ-084,135334214,8,2410,24,2.7,0,1,1,55.34,51.83,43227,20835414.0,67609584.15231442
PRJ-085,194540284,46,3287,34,2.6,0,1,0,11.76,65.24,93599,61531982.6,74801550.09947313
PRJ-086,194436765,22,1813,33,3.9,1,1,0,87.67,92.73,40163,14563103.8,32671982.719429888
PRJ-087,105959397,18,2437,183,1.0,0,0,0,1.61,35.37,101169,49309770.6,44068780.95794429
PRJ-088,42151878,21,2236,157,1.7,0,1,1,90.33,81.65,96316,43072515.2,16795667.716930702
PRJ-089,169295062,47,1973,75,1.8,0,1,1,0.24,95.48,111901,44156134.6,29712969.286646795
PRJ-090,62053118,47,1781,114,1.3,1,1,0,34.1,30.33,89515,31885243.0,12436605.255449705
PRJ-091,30575117,11,149,69,2.6,0,0,0,98.01,86.91,46530,1386594.0,11950325.463062363
PRJ-092,192688919,9,2014,158,1.8,1,0,1,92.43,13.26,111780,45024984.0,22660356.95606525
PRJ-093,20916265,25,2348,87,3.0,1,1,0,20.42,45.66,115706,54335537.6,8828779.47182236
PRJ-094,173455030,36,1873,21,3.0,1,1,1,3.69,18.61,81510,30533646.0,86090182.09101926
PRJ-095,196063994,20,466,64,3.2,0,1,0,25.17,96.52,93115,8678318.0,61818007.81364859
PRJ-096,165421540,40,3840,139,4.2,0,1,0,10.2,96.38,55679,42761472.0,23692571.792079087
PRJ-097,43940656,10,2116,61,4.2,0,0,0,74.54,24.85,99485,42102052.0,17514187.665778894
PRJ-098,176372235,44,4724,145,2.9,0,1,0,12.05,14.0,80748,76290710.4,29518637.738125283
PRJ-099,17424102,3,4809,130,1.0,0,0,1,0.88,14.47,101805,97916049.0,6832707.8728948515
PRJ-100,145622800,22,2547,174,2.1,0,1,1,10.47,34.32,106677,54341263.800000004,22050946.770449445
PRJ-101,166262821,30,4915,82,4.2,1,0,0,8.59,18.77,86892,85414836.0,20364326.846903916
PRJ-102,83410246,12,410,100,3.3,1,1,1,12.31,63.97,59769,4901058.0,15213351.576428548
PRJ-103,23597937,18,3092,28,4.3,0,1,1,25.34,58.78,109450,67683880.0,10311304.251503352
PRJ-104,87570799,10,2597,52,4.4,0,0,0,28.13,42.6,83041,43131495.400000006,10124823.106786586
PRJ-105,8397180,28,4043,165,5.0,0,0,0,28.62,46.61,68540,55421444.0,1402390.0103366817
PRJ-106,2222975,39,4127,41,1.6,1,1,1,32.27,60.03,107960,89110184.0,469286.62492355757
PRJ-107,1921747,3,1484,111,2.4,0,1,0,72.45,72.29,117270,34805736.0,636379.9872299451
PRJ-108,51863759,24,3821,162,2.0,0,1,1,33.61,94.68,118180,90313156.0,11880546.225512138
PRJ-109,20621675,43,461,93,1.4,0,0,0,4.23,85.74,116244,10717696.8,8014908.518076779
PRJ-110,177588465,13,509,129,2.8,1,0,0,6.33,68.03,67846,6906722.800000001,85789251.56038456
PRJ-111,42338257,31,4713,70,3.5,1,1,1,29.28,57.42,50199,47317577.400000006,13937984.24690918
PRJ-112,92305550,17,4589,105,2.1,1,0,0,44.02,7.82,54557,50072414.6,24898572.61181012
PRJ-113,72790515,31,1946,124,4.4,0,0,1,74.09,67.55,51118,19895125.6,10651759.67525012
PRJ-114,185448727,36,3256,46,3.2,1,1,0,67.71,20.78,57419,37391252.800000004,60582706.41670117
PRJ-115,123081166,5,3653,96,2.9,1,0,1,7.6,12.82,95026,69425995.60000001,31597086.74231966
PRJ-116,27543526,15,2890,76,2.5,0,0,0,24.08,46.0,114318,66075804.0,4746417.999420112
PRJ-117,39961692,36,3984,41,3.3,1,0,1,6.19,59.18,44172,35196249.6,9639112.822539324
PRJ-118,169523650,14,3145,168,4.1,1,1,0,88.07,95.72,67385,42385165.0,71734493.91696216
PRJ-119,86964216,17,4169,57,3.4,1,1,0,4.55,39.83,118482,98790291.60000001,29062988.625894625
PRJ-120,128308020,48,3782,95,4.1,0,1,1,28.31,30.45,96051,72652976.4,18731551.538012076
PRJ-121,59304356,35,724,57,4.6,0,1,1,12.32,83.98,41438,6000222.4,11927321.400286075
PRJ-122,105323444,19,2995,67,1.4,1,0,0,82.81,22.85,49406,29594194.0,41911759.82807254
PRJ-123,87748960,11,5000,73,4.1,0,0,1,73.08,20.03,106185,106185000.0,39433917.86323334
PRJ-124,49083567,28,3167,16,1.4,1,1,1,11.1,38.52,67878,42993925.2,24156098.962479044
PRJ-125,67668144,24,2281,128,3.9,0,0,0,20.94,40.87,45084,20567320.8,26437496.36763404
PRJ-126,24824205,33,1401,168,2.7,0,1,1,68.67,89.45,103512,29004062.400000002,2802438.183252999
PRJ-127,108628709,3,2361,140,2.2,0,1,1,14.84,94.89,46439,21928495.8,13472745.92601488
PRJ-128,181440497,28,745,86,2.8,0,1,0,9.49,44.17,88418,13174282.0,49686594.44553952
PRJ-129,104724108,48,2810,81,1.5,0,1,1,59.49,70.98,63694,35796028.0,44629154.256816454
PRJ-130,159352028,28,4564,92,5.0,1,1,0,70.61,91.93,107521,98145168.80000001,70678944.15691486
PRJ-131,118312586,15,4318,122,3.6,0,0,1,38.65,66.29,72544,62648998.400000006,54923268.228659235
PRJ-132,149673151,12,927,49,3.4,1,1,0,29.53,63.57,116312,21564244.8,37962627.08419252
PRJ-133,19688741,22,4806,150,4.7,0,0,1,86.57,52.48,52845,50794614.0,9225664.268576661
PRJ-134,170888930,39,1191,46,4.8,1,1,0,75.89,20.34,71643,17065362.6,82583858.35127622
PRJ-135,173768087,14,4000,141,4.7,0,0,1,94.62,36.6,61466,49172800.0,21592106.756589234
PRJ-136,175049623,27,4056,153,2.3,1,1,1,68.14,48.79,90650,73535280.0,25875379.16686279
PRJ-137,163579234,31,1055,97,1.8,1,0,0,81.64,6.96,83147,17544017.0,39529074.99315738
PRJ-138,117223844,6,1862,139,1.1,0,1,0,93.62,0.23,100621,37471260.4,47977423.40861981
PRJ-139,91493106,40,294,23,4.7,0,0,1,84.47,59.79,51557,3031551.6,9223951.386934148
PRJ-140,43505554,25,1263,79,3.4,0,1,0,52.94,75.49,96758,24441070.8,8569056.010476707
PRJ-141,180626436,18,2730,181,3.4,0,1,0,32.52,59.31,58140,31744440.0,48225388.638819285
PRJ-142,184046713,10,1338,157,4.1,0,1,1,47.47,9.99,81028,21683092.8,19251660.66866888
PRJ-143,15417232,25,1761,77,2.4,0,1,0,41.76,22.49,67157,23652695.400000002,7430514.208347235
PRJ-144,5698255,25,1569,149,4.1,0,1,1,68.37,51.18,94730,29726274.0,600515.0888483805
PRJ-145,24264693,9,3448,69,4.8,0,0,0,69.7,73.61,67715,46696264.0,10752550.674223067
PRJ-146,163336208,23,4309,199,2.0,1,0,0,64.0,39.19,117570,101321826.0,17330123.761682734
PRJ-147,160701925,9,913,13,4.2,1,0,0,3.6,21.86,47797,8727732.200000001,37944172.26705104
PRJ-148,164002091,13,3562,44,2.3,1,1,0,67.19,96.32,109796,78218670.4,37128785.08846655
PRJ-149,116737205,45,272,196,1.3,0,0,0,36.85,56.33,61919,3368393.6,16007596.911954368
PRJ-150,80678231,39,2348,151,3.8,1,1,1,86.53,30.28,81640,38338144.0,37036597.56456077
PRJ-151,115461432,24,3597,169,2.7,0,0,0,86.92,57.98,63764,45871821.6,37949407.939848356
PRJ-152,99946612,15,4764,134,2.0,1,1,0,13.11,79.53,61150,58263720.0,23434792.69074942
PRJ-153,147136244,26,3171,28,3.8,0,1,0,51.74,97.52,61728,39147897.6,69744989.45008127
PRJ-154,7871839,46,3182,124,4.8,1,0,1,47.09,51.95,53073,33775657.2,1855182.526625554
PRJ-155,121421313,22,1666,159,3.7,1,1,1,79.99,88.06,88226,29396903.200000003,49477745.30104222
PRJ-156,98456524,43,217,146,3.2,0,1,1,11.81,74.35,55517,2409437.8000000003,40963851.233440146
PRJ-157,191900803,43,3504,29,4.7,0,1,0,37.23,43.49,57581,40352764.800000004,56626088.83299196
PRJ-158,33801788,12,2364,74,3.6,1,0,0,71.73,14.4,60507,28607709.6,7130146.4877897
PRJ-159,121085408,8,295,110,1.4,1,0,1,80.66,0.08,92932,5482988.0,21442462.297812134
PRJ-160,26220216,16,2770,185,2.8,0,0,1,52.1,32.55,72876,40373304.0,8559974.225095885
PRJ-161,181766484,24,4344,116,4.3,1,0,0,10.49,13.82,50131,43553812.800000004,35005231.22348651
PRJ-162,141343826,35,2795,181,2.5,0,0,0,88.93,50.56,89809,50203231.0,39178829.62720074
PRJ-163,158836988,8,4623,150,1.9,0,1,1,86.3,34.02,51452,47572519.2,74228353.96058787
PRJ-164,123117543,17,2226,194,3.4,1,0,1,94.91,93.94,43483,19358631.6,48553075.4507615
PRJ-165,35994886,22,3074,63,1.8,0,1,1,84.01,45.09,105892,65102401.6,12499522.264755225
PRJ-166,24778143,35,3003,194,4.2,1,1,0,45.72,95.11,103381,62090628.6,4423097.518951946
PRJ-167,164660193,32,4514,47,4.6,0,0,0,9.88,96.99,97408,87939942.4,44982503.65607417
PRJ-168,169635597,44,2164,125,3.5,1,1,0,54.11,27.22,49828,21565558.400000002,62410221.95165489
PRJ-169,43505242,7,2468,14,4.3,1,0,0,54.05,92.54,89242,44049851.2,15004201.520391962
PRJ-170,48355519,34,4760,42,1.9,0,0,0,51.38,50.9,107857,102679864.0,7242163.551323077
PRJ-171,57817475,32,4586,193,1.7,0,1,0,54.38,46.88,64574,59227272.800000004,18027387.679976024
PRJ-172,35900412,41,3279,74,1.9,1,0,0,95.59,86.02,104514,68540281.2,12877778.263741674
PRJ-173,25868099,47,2293,86,4.2,1,0,1,43.78,4.71,41538,19049326.8,12171872.460646125
PRJ-174,118850028,8,813,148,2.2,1,1,1,53.54,84.44,53197,8649832.200000001,39409657.07370271
PRJ-175,33217387,14,3308,141,2.0,1,1,0,65.58,57.03,74547,49320295.2,10571998.50108265
PRJ-176,187437981,7,2572,199,4.7,1,0,0,55.26,91.41,86898,44700331.2,69969240.1561138
PRJ-177,175580528,44,3637,97,1.3,1,0,0,16.36,13.78,70108,50996559.2,18222271.572559983
PRJ-178,5434340,48,170,132,2.0,1,0,0,37.37,55.07,63738,2167092.0,851575.8829717783
PRJ-179,62497476,40,736,66,4.0,1,0,1,72.23,71.33,45609,6713644.800000001,17717113.566412967
PRJ-180,117509725,20,3934,125,4.8,0,1,1,58.38,70.84,59309,46664321.2,13173408.497222407
PRJ-181,151988937,45,1324,70,1.5,1,0,1,46.99,11.35,55992,14826681.600000001,20947799.267591346
PRJ-182,114649685,27,669,120,3.3,1,0,0,70.45,89.66,105460,14110548.0,32786633.725445043
PRJ-183,193882636,21,4243,133,2.4,0,1,0,95.69,10.45,109019,92513523.4,91101311.1426198
PRJ-184,193122895,15,4080,67,2.8,1,1,1,99.09,64.85,49168,40121088.0,42104090.180662304
PRJ-185,197393724,7,4138,110,3.3,0,0,1,22.94,5.44,63511,52561703.6,97634134.36041139
PRJ-186,124529314,6,1732,42,1.6,1,1,1,25.68,37.23,46211,16007490.4,20864699.532918658
PRJ-187,139747148,31,3745,114,2.4,1,1,0,32.27,86.43,66534,49833966.0,59515770.60027162
PRJ-188,153696054,25,862,137,1.9,1,0,1,61.41,8.41,63204,10896369.600000001,73873801.97805856
PRJ-189,163662711,6,2570,73,4.5,0,1,1,31.02,9.31,60173,30928922.0,16904989.619816653
PRJ-190,78387417,45,3470,101,1.3,1,0,0,93.98,19.79,53765,37312910.0,13238022.612097634
PRJ-191,198347487,39,2154,190,4.8,1,0,0,24.68,54.58,62780,27045624.0,40689853.50763834
PRJ-192,115695260,22,2638,63,3.3,1,0,0,86.96,16.43,101381,53488615.6,12440577.866183076
PRJ-193,20304665,48,4538,149,3.9,1,0,1,3.93,76.56,111774,101446082.4,8631450.79910864
PRJ-194,182352633,46,2163,73,2.0,1,1,1,19.97,77.11,118434,51234548.400000006,90395296.46096587
PRJ-195,180281559,11,2490,128,3.8,1,1,1,87.9,35.32,55177,27478146.0,28538967.29476216
PRJ-196,94007908,11,3551,65,1.5,0,0,0,73.52,44.98,65636,46614687.2,32815333.00366977
PRJ-197,100852839,47,3116,177,4.2,1,0,0,28.52,33.85,80328,50060409.6,30070165.74068594
PRJ-198,135059781,43,2618,97,1.1,0,1,1,17.67,23.46,41132,21536715.200000003,37301181.37460879
PRJ-199,101785110,38,2010,143,1.1,1,0,0,12.85,31.88,94327,37919454.0,10982287.355777822
PRJ-200,53711693,19,3754,190,1.0,1,1,1,8.99,91.78,44422,33352037.6,13480623.50450774
PRJ-201,137725354,22,3250,124,4.2,1,1,0,18.92,77.97,54281,35282650.0,17782929.386748843
PRJ-202,165604308,15,3336,82,3.0,0,0,0,81.04,42.36,90783,60570417.6,21420582.153591584
PRJ-203,145986857,18,1801,23,1.0,1,1,1,53.75,80.43,48581,17498876.2,32787509.821677793
PRJ-204,108380098,39,3771,198,4.1,1,0,0,19.61,3.79,43352,32696078.400000002,11084297.338764518
PRJ-205,8779661,46,1300,93,4.9,1,0,0,9.41,14.45,58044,15091440.0,1296234.9883517618
PRJ-206,143688455,37,1253,117,3.1,1,1,0,14.65,58.38,100529,25192567.400000002,19933993.38846653
PRJ-207,28174573,14,3449,131,2.5,0,1,0,62.16,55.89,98433,67899083.4,5387009.595329396
PRJ-208,32338524,6,1793,156,1.0,0,1,0,86.12,18.07,41410,14849626.0,7962056.398262912
PRJ-209,30456493,9,538,73,1.6,0,1,1,2.95,73.82,108640,11689664.0,5892452.700131876
PRJ-210,98348327,5,2341,147,2.7,1,0,1,61.77,95.28,102898,48176843.6,33443180.59977439
PRJ-211,70255309,12,2085,130,2.1,0,1,1,98.28,35.5,95506,39826002.0,10572042.573070744
PRJ-212,42073691,32,4184,81,1.3,1,0,1,15.09,42.31,66460,55613728.0,14715749.762629546
PRJ-213,130112790,21,2602,65,2.4,1,0,0,11.84,68.66,63264,32922585.6,58499293.571840405
PRJ-214,124986419,5,2269,27,2.9,1,1,0,93.48,45.37,58710,26642598.0,18810860.814233143
PRJ-215,49530439,13,4917,156,5.0,1,1,0,93.31,95.29,78452,77149696.8,18440647.541260865
PRJ-216,24461824,16,4732,147,4.2,1,1,0,41.02,20.33,94217,89166968.80000001,9713090.225223491
PRJ-217,126222542,22,131,97,1.0,0,1,1,22.25,11.76,78928,2067913.6,36177715.20998754
PRJ-218,153327711,41,4657,135,1.1,1,0,0,93.99,13.23,72542,67565618.8,55812145.167506814
PRJ-219,111139946,25,4413,98,2.3,1,1,1,9.37,57.03,88663,78253963.8,33774285.934783004
PRJ-220,94620593,28,1786,124,4.7,0,0,0,35.69,37.05,81740,29197528.0,12627224.135942284
PRJ-221,129855978,20,822,170,1.4,1,1,1,17.87,96.91,49029,8060367.600000001,36068834.06079814
PRJ-222,152822844,47,4543,124,3.7,0,1,1,9.44,18.44,92785,84304451.0,44371391.598451786
PRJ-223,67762392,37,1954,147,2.1,1,1,1,65.03,85.96,66264,25895971.200000003,18215393.04621878
PRJ-224,128764810,13,2772,156,4.2,0,1,1,49.52,97.58,85268,47272579.2,27675205.57688769
PRJ-225,74819708,43,3581,10,1.0,1,0,1,95.68,96.51,90491,64809654.2,33618380.64921453
PRJ-226,93039859,28,3722,99,4.5,0,1,1,1.14,74.54,64361,47910328.400000006,45511911.29222017
PRJ-227,187088524,19,4390,147,2.6,1,0,1,33.17,65.68,101459,89081002.0,66166717.308227494
PRJ-228,61587393,21,2284,147,4.5,0,0,0,16.17,28.04,83298,38050526.4,28423588.86350638
PRJ-229,161795833,40,1956,17,4.9,0,1,0,97.47,14.16,61410,24023592.0,56825105.503028214
PRJ-230,38210177,6,3130,138,3.0,1,1,0,66.72,64.55,76100,47638600.0,5362188.263088518
PRJ-231,28016710,10,2673,156,1.2,1,0,1,69.35,89.43,41702,22293889.200000003,4219225.444916348
PRJ-232,83824857,38,413,117,2.8,0,0,1,51.02,9.9,79938,6602878.800000001,29619785.093593217
PRJ-233,120183253,44,658,158,4.2,0,0,0,89.49,36.41,105856,13930649.600000001,39953290.86243669
PRJ-234,27923721,24,2394,82,3.0,1,0,1,77.9,76.87,70589,33798013.2,3739791.588218533
PRJ-235,19355810,44,2625,191,3.2,0,0,0,14.74,8.6,73229,38445225.0,4902116.821191056
PRJ-236,123341478,39,1519,127,4.1,1,0,0,56.54,33.77,98782,30009971.6,41586680.095237754
PRJ-237,75285818,27,2838,80,1.6,1,0,1,75.8,87.75,79182,44943703.2,34984544.66650693
PRJ-238,178911536,11,339,144,1.9,1,0,0,30.03,26.89,102854,6973501.2,52523908.59248833
PRJ-239,183699294,4,3811,35,1.8,1,1,0,24.6,30.19,68507,52216035.400000006,18905838.772256456
PRJ-240,7561984,34,1126,160,2.1,0,0,1,74.39,85.98,110561,24898337.200000003,2636665.3816261603
PRJ-241,83392093,31,1145,28,2.4,0,1,1,29.84,90.35,46246,10590334.0,28256981.816021085
PRJ-242,77332585,24,1980,58,1.4,0,1,0,34.98,1.04,119502,47322792.0,9463933.839208536
PRJ-243,10493200,40,1965,132,4.0,0,0,0,23.48,36.36,58309,22915437.0,3851285.4558343636
PRJ-244,171826371,47,3629,42,4.1,0,1,0,96.8,44.59,66301,48121265.800000004,84682395.452462
PRJ-245,64228934,18,537,19,3.2,1,1,0,47.22,92.85,112459,12078096.600000001,9766438.658946943
PRJ-246,194811881,18,2043,57,4.5,1,0,0,63.35,33.1,41719,17046383.400000002,61400629.48031544
PRJ-247,26378811,34,2555,182,2.4,1,0,1,83.16,6.43,93260,47655860.0,3467400.4653765047
PRJ-248,195453483,29,1239,12,4.8,1,1,0,89.68,47.75,87423,21663419.400000002,86902124.4507531
PRJ-249,15536419,23,517,70,3.8,1,1,1,2.14,53.85,108471,11215901.4,7223601.17022426
PRJ-250,14237826,5,3769,18,4.9,0,1,0,22.62,99.09,111228,83843666.4,1809621.1471030621
PRJ-251,32732507,8,3513,112,3.1,1,1,0,11.85,52.63,110822,77863537.2,11168637.891469544
PRJ-252,186896279,27,1621,41,1.3,0,1,1,21.03,59.07,45479,14744291.8,86363290.3695553
PRJ-253,165105946,35,3075,53,3.8,1,0,0,54.45,17.55,106976,65790240.0,27431483.645989906
PRJ-254,137955489,30,1082,104,4.8,1,0,0,72.09,71.66,95318,20626815.200000003,43452352.5966877
PRJ-255,69399948,40,2019,179,2.3,0,1,0,7.25,90.52,69076,27892888.8,21419397.86336277
PRJ-256,163211049,35,3642,16,1.3,0,1,0,93.52,16.69,117336,85467542.4,79979514.98568484
PRJ-257,111208780,37,4835,184,4.1,0,0,0,32.22,71.87,119305,115367935.0,37866621.149522774
PRJ-258,4342773,11,4318,199,2.6,0,0,0,78.48,68.62,73324,63322606.400000006,475261.23282577546
PRJ-259,120765895,34,1364,135,3.2,1,0,1,26.29,87.15,55658,15183502.4,27602122.020410582
